"","Longitude","Latitude","School.ID","Enrollment.x","Grade.Level","src_school_id","school_name","overall_city_rank","ach_city_rank","prog_city_rank","clim_city_rank","cc_city_rank","Serious.Incidents","Total.Suspensions","Count.Native.American.y","Percent.Native.American.y","Count.Asian.y","Percent.Asian.y","Count.Black.y","Percent.Black.y","Count.Hispanic.y","Percent.Hispanic.y","Count.Multirace.y","Percent.Multirace.y","Count.Pacific.Islander.y","Percent.Pacific.Islander.y","Count.White.y","Percent.White.y"
"194",-75.181,40.032,3393,544,"Middle/High","W93","Mastery Charter School at Pickett Campus","19th of 71","16th of 70","17th of 71","27th of 72","28th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",-75.181,40.032,3393,544,"Middle/High","W93","Mastery Charter School at Pickett Campus","4th of 33","9th of 33","2nd of 33","17th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",-75.181,40.032,3393,544,"Middle/High","W93","Mastery Charter School at Pickett Campus","4th of 33","9th of 33","2nd of 33","17th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",-75.205,39.967,3368,533,"Elem/Middle","W68","Belmont Charter School","38th of 126","61st of 126","24th of 126","51st of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",-75.161,39.968,3335,527,"Elem/Middle","W35","People for People Charter School","66th of 126","46th of 126","99th of 126","39th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",-75.152,39.949,3317,596,"High School","W17","Architecture and Design Charter School","18th of 71","31st of 70","15th of 71","12th of 72","33rd of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",-75.172,40.073,3380,455,"Tutoring","W80","New Media Technology Charter School","39th of 71","39th of 70","25th of 71","36th of 72","51st of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",-75.172,40.073,3380,455,"Tutoring","W80","New Media Technology Charter School","39th of 71","39th of 70","25th of 71","36th of 72","51st of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",-75.172,40.073,3380,455,"Tutoring","W80","New Media Technology Charter School","24th of 33","29th of 33","24th of 33","13th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",-75.172,40.073,3380,455,"Tutoring","W80","New Media Technology Charter School","24th of 33","29th of 33","24th of 33","13th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",-75.156,39.959,3384,481,"Elem/Middle","W84","Folks Arts Cultural Treasures Charter School","City Leader","6th of 126","3rd of 126","9th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",-75.168,39.941,3326,644,"Elem/Middle","W26","Universal Institute Charter School","60th of 126","55th of 126","91st of 126","29th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",-75.171,40.016,3362,426,"Elem/Middle","W62","Wissahickon Charter School","26th of 126","20th of 126","51st of 126","25th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",-75.161,39.961,3321,968,"Elem/Mid/High","W21","Math, Civics and Sciences Charter School","29th of 71","33rd of 70","19th of 71","41st of 72","16th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",-75.161,39.961,3321,968,"Elem/Mid/High","W21","Math, Civics and Sciences Charter School","29th of 71","33rd of 70","19th of 71","41st of 72","16th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
